ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
1280,,kumadene2,narrow,tsuapo,tsuapo,ts u a p o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1281,,tariana,narrow,hesakadewanʊtuki,hesakadewanʊtuki,h e s a k a d e w a n ʊ t u k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1282,,aha,narrow,medadali,medadali,m e d a d a l i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1283,,ehe,narrow,tsuite,tsuite,ts u i t e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1284,,oho,narrow,tsoːpeki,tsoːpeki,ts oː p e k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1285,,name,narrow,tsoːkai,tsoːkai,ts oː k a i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1286,,werekena,narrow,aɾɛpili,aɾɛpili,a ɾ ɛ p i l i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1287,,waliperi,navel,nʰuɛpoɽɛ,nʰuɛpoɽɛ,nʰ u ɛ p o ɽ ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1288,,hohoodene,navel,tseːpoɽɛ,tseːpoɽɛ,ts eː p o ɽ ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1289,,moliwene,navel,nʰuɛpoɽɛ,nʰuɛpoɽɛ,nʰ u ɛ p o ɽ ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1290,,mauliene,navel,numutʃi,numutʃi,n u m u tʃ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1291,,kumadene2,navel,hẽpuhe,hẽpuhe,h ẽ p u h e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1292,,tariana,navel,phepuɾeda,phepuɾeda,pʰ e p u ɾ e d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1293,,werekena,navel,numudɛ,numudɛ,n u m u d ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1294,,waliperi,near,tsuːnɛtsoa,tsuːnɛtsoa,ts uː n ɛ ts o a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1295,,hohoodene,near,tsuːmɛtsa,tsuːmɛtsa,ts uː m ɛ ts a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1296,,mauliene,near,tsuːmetsa,tsuːmetsa,ts uː m e ts a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1297,,kumadene2,near,tsumaitia,tsumaitia,ts u m a i t i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1298,,tariana,near,kidalipatuki,kidalipatuki,k i d a l i p a t u k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1299,,aha,near,tsoːmitsa,tsoːmitsa,ts oː m i ts a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1300,,ehe,near,tsuːmetsa,tsuːmetsa,ts uː m e ts a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1301,,oho,near,tsoːmetsa,tsoːmetsa,ts oː m e ts a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1302,,name,near,tsoːmi,tsoːmi,ts oː m i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1303,,werekena,near,buɛhə,buɛhə,b u ɛ h ə,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1304,,waliperi,neck,ɽinɔɽi,ɽinɔɽi,ɽ i n ɔ ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1305,,hohoodene,neck,panoʐo,panoʐo,p a n o ʐ o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1306,,moliwene,neck,ɽinoʐo,ɽinoʐo,ɽ i n o ʐ o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1307,,mauliene,neck,nunuʐo,nunuʐo,n u n u ʐ o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1308,,kumadene2,neck,nunapokoda,nunapokoda,n u n a p o k o d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1309,,kowaidakenai,neck,ɽinuʐu,ɽinuʐu,ɽ i n u ʐ u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1310,,dzawinai,neck,ɽinuʐu,ɽinuʐu,ɽ i n u ʐ u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1311,,tariana,neck,panʰoɾuː,panʰoɾuː,p a nʰ o ɾ uː,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1312,,aha,neck,linoːsrojapi,linoːsrojapi,l i n oː s ɾ o j a p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1313,,ehe,neck,linoːru,linoːru,l i n oː ɾ u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1314,,oho,neck,liweːdaliko,liweːdaliko,l i w eː d a l i k o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1315,,name,neck,liweːdaliko,liweːdaliko,l i w eː d a l i k o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1316,,werekena,neck,nunupi,nunupi,n u n u p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1317,,waliperi,new,waɽipɛ,waɽipɛ,w a ɽ i p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1318,,hohoodene,new,waːɽipɛ,waːɽipɛ,w aː ɽ i p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1319,,moliwene,new,waɽidaɽi,waɽidaɽi,w a ɽ i d a ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1320,,mauliene,new,wahitɛ,wahitɛ,w a h i t ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1321,,kumadene2,new,waɽidaɽi,waɽidaɽi,w a ɽ i d a ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1322,,kowaidakenai,new,waːɽite,waːɽite,w aː ɽ i t e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1323,,dzawinai,new,waːɽite,waːɽite,w aː ɽ i t e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1324,,tariana,new,waɾipeɾi,waɾipeɾi,w a ɾ i p e ɾ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1325,,aha,new,walidali,walidali,w a l i d a l i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1326,,ehe,new,walidali,walidali,w a l i d a l i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1327,,oho,new,walidale,walidale,w a l i d a l e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1328,,name,new,waːlidali,waːlidali,w aː l i d a l i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1329,,werekena,new,w̥eniapaɾi,w̥eniapaɾi,wʰ e n i a p a ɾ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1330,,waliperi,night,dɛːpi,dɛːpi,d ɛː p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1331,,hohoodene,night,deːpi,deːpi,d eː p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1332,,moliwene,night,dɛːpi,dɛːpi,d ɛː p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1333,,mauliene,night,dɛːpi,dɛːpi,d ɛː p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1334,,kumadene2,night,deːpi,deːpi,d eː p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1335,,kumadene1,night,dɛːpɪ,dɛːpɪ,d ɛː p ɪ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1336,,kowaidakenai,night,deːpi,deːpi,d eː p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1337,,dzawinai,night,deːpi,deːpi,d eː p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1338,,tariana,night,deːpi,deːpi,d eː p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1339,,aha,night,deːpi,deːpi,d eː p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1340,,ehe,night,deːpiriku,deːpiriku,d eː p i ɾ i k u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1341,,oho,night,deːpina,deːpina,d eː p i n a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1342,,name,night,deːpi,deːpi,d eː p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1343,,werekena,night,sibuma,sibuma,s i b u m a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1344,,waliperi,no,j̃áːmɛ,j̃áːmɛ,j̃ áː m ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1345,,hohoodene,no,j̃ãmɛ,j̃ãmɛ,j̃ ã m ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1346,,moliwene,no,j̃amɛ,j̃amɛ,j̃ a m ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1347,,mauliene,no,kaʐo,kaʐo,k a ʐ o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1348,,kumadene2,no,j̃ame,j̃ame,j̃ a m e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1349,,kowaidakenai,no,kaʐimi,kaʐimi,k a ʐ i m i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1350,,dzawinai,no,kaʐo,kaʐo,k a ʐ o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1351,,tariana,no,wihɛkade,wihɛkade,w i h ɛ k a d e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1352,,aha,no,kori,kori,k o ɾ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1353,,ehe,no,khenim,khenim,kʰ e n i m,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1354,,oho,no,karon,karon,k a ɾ o n,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1355,,name,no,ñame,ñame,ɲ a m e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1356,,werekena,no,jan̥ɐ̃,jan̥ɐ̃,j a nʰ ɐ̃,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1357,,waliperi,nose,ɽʰitako,ɽʰitako,ɽʰ i t a k o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1358,,hohoodene,nose,hɛtako,hɛtako,h ɛ t a k o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1359,,moliwene,nose,ɽ̥ʰitako,ɽ̥ʰitako,ɽʰ i t a k o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1360,,mauliene,nose,ɽitako,ɽitako,ɽ i t a k o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1361,,kumadene2,nose,hitako,hitako,h i t a k o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1362,,kumadene1,nose,wahtaku,wahtaku,w a h t a k u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1363,,kowaidakenai,nose,ɽitaku,ɽitaku,ɽ i t a k u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1364,,dzawinai,nose,ɽhitaku,ɽhitaku,ɽʰ i t a k u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1365,,tariana,nose,ɾihtaku,ɾihtaku,ɾ i h t a k u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1366,,aha,nose,liːtako,liːtako,l iː t a k o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1367,,oho,nose,litako,litako,l i t a k o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1368,,name,nose,itako,itako,i t a k o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1369,,werekena,nose,nujapa,nujapa,n u j a p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1370,,hohoodene,old,pedaːɽia,pedaːɽia,p e d aː ɽ i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1371,,mauliene,old,pedáːɽia,pedáːɽia,p e d áː ɽ i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1372,,kumadene2,old,pekiʐi,pekiʐi,p e k i ʐ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1373,,kowaidakenai,old,komoɽikei,komoɽikei,k o m o ɽ i k e i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1374,,dzawinai,old,pedaɽja,pedaɽja,p e d a ɽ j a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1375,,tariana,old,pẽdalia,pẽdalia,p ẽ d a l i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1376,,aha,old,opidali,opidali,o p i d a l i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1377,,ehe,old,pedalia,pedalia,p e d a l i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1378,,oho,old,oːpidale,oːpidale,oː p i d a l e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1379,,name,old,opidali,opidali,o p i d a l i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1380,,werekena,old,ɛtenɛlo,ɛtenɛlo,ɛ t e n ɛ l o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1381,,waliperi,one,apada,apada,a p a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1382,,hohoodene,one,apaita,apaita,a p a i t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1383,,moliwene,one,apadata,apadata,a p a d a t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1384,,mauliene,one,padata,padata,p a d a t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1385,,kumadene2,one,hapada,hapada,h a p a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1386,,kumadene1,one,phɛpɐ,phɛpɐ,pʰ ɛ p ɐ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1387,,kowaidakenai,one,hapeːpa,hapeːpa,h a p eː p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1388,,dzawinai,one,hapajta,hapajta,h a p a j t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1389,,tariana,one,pəitetuki,pəitetuki,p ə i t e t u k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1390,,aha,one,padatsa,padatsa,p a d a ts a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1391,,ehe,one,apadanali,apadanali,a p a d a n a l i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1392,,oho,one,padatsa,padatsa,p a d a ts a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1393,,name,one,padatsa,padatsa,p a d a ts a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1394,,werekena,one,patʃɛɾo,patʃɛɾo,p a tʃ ɛ ɾ o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1395,,waliperi,other,apajta,apajta,a p a j t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1396,,hohoodene,other,apajta,apajta,a p a j t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1397,,moliwene,other,apadawa,apadawa,a p a d a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1398,,mauliene,other,phepa,phepa,pʰ e p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1399,,kumadene2,other,aːpe,aːpe,aː p e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1400,,tariana,other,paːsi,paːsi,p aː s i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1401,,aha,other,pada,pada,p a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1402,,ehe,other,apada,apada,a p a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1403,,oho,other,pada,pada,p a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1404,,name,other,apada,apada,a p a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1405,,werekena,other,pejahɐ̃,pejahɐ̃,p e j a h ɐ̃,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1406,,waliperi,path,inipo,inipo,i n i p o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1407,,hohoodene,path,iːnipo,iːnipo,iː n i p o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1408,,moliwene,path,inípò,inípò,i n í p o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1409,,mauliene,path,inipo,inipo,i n i p o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1410,,kumadene2,path,inipo,inipo,i n i p o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1411,,kowaidakenai,path,enipu,enipu,e n i p u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1412,,dzawinai,path,inipu,inipu,i n i p u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1413,,tariana,path,hinipu,hinipu,h i n i p u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1414,,aha,path,wawa ~ wao,wawa ~ wao,w a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1415,,ehe,path,inipu,inipu,i n i p u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1416,,oho,path,inipo,inipo,i n i p o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1417,,name,path,inipo,inipo,i n i p o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1418,,werekena,path,tɛnɛpu,tɛnɛpu,t ɛ n ɛ p u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1419,,waliperi,people,naːwiki,naːwiki,n aː w i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1420,,hohoodene,people,newiki,newiki,n e w i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1421,,moliwene,people,najki,najki,n a j k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1422,,mauliene,people,naiki,naiki,n a i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1423,,kumadene2,people,naiki,naiki,n a i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1424,,kowaidakenai,people,naike,naike,n a i k e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1425,,dzawinai,people,newiki,newiki,n e w i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1426,,tariana,people,maɾikɪ,maɾikɪ,m a ɾ i k ɪ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1427,,aha,people,naiki,naiki,n a i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1428,,ehe,people,naike,naike,n a i k e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1429,,oho,people,naiki,naiki,n a i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1430,,name,people,a’pada,a’pada,a p a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1431,,werekena,people,j̃amaɾi,j̃amaɾi,j̃ a m a ɾ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1432,,kumadene1,personcivilized,nawiki masitɛ,nawiki masitɛ,n a w i k i # m a s i t ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1433,,hohoodene,pierce,patudakɐni,patudakɐni,p a t u d a k ɐ n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1434,,mauliene,pierce,nutuhuakani,nutuhuakani,n u t u h u a k a n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1435,,kumadene2,pierce,nutuhoaka,nutuhoaka,n u t u h o a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1436,,kowaidakenai,pierce,pitunʰuãni,pitunʰuãni,p i t u nʰ u ã n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1437,,dzawinai,pierce,pikanumaota,pikanumaota,p i k a n u m a o t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1438,,tariana,pierce,nakeɾikənipɛ,nakeɾikənipɛ,n a k e ɾ i k ə n i p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1439,,werekena,pierce,pikurukɛhə,pikurukɛhə,p i k u ɾ u k ɛ h ə,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1440,,aha,play,itopitakada,itopitakada,i t o p i t a k a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1441,,ehe,play,matsoːtaketi,matsoːtaketi,m a ts oː t a k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1442,,oho,play,itopitakheti,itopitakheti,i t o p i t a kʰ e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1443,,name,play,itopitaketi,itopitaketi,i t o p i t a k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1444,,werekena,throw,pisina,pisina,p i s i n a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1445,,hohoodene,pull,pʱeʐaːkɐni,pʱeʐaːkɐni,pʰ e ʐ aː k ɐ n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1446,,moliwene,pull,kaʐakɐni,kaʐakɐni,k a ʐ a k ɐ n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1447,,mauliene,pull,hiʐakani,hiʐakani,h i ʐ a k a n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1448,,kumadene2,pull,piʐaakã,piʐaakã,p i ʐ aː k ã,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1449,,tariana,pull,papitafapɛmeta,papitafapɛmeta,p a p i t a f a p ɛ m e t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1450,,aha,pull,hiːrakada,hiːrakada,h iː ɾ a k a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1451,,ehe,pull,hirakaita ~ hiraketi,hirakaita ~ hiraketi,h i ɾ a k a i t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1452,,oho,pull,hiraketi,hiraketi,h i ɾ a k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1453,,name,pull,hiraːketi,hiraːketi,h i ɾ aː k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1454,,werekena,pull,pitsopɐ̃ha,pitsopɐ̃ha,p i ts o p ɐ̃ h a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1455,,hohoodene,push,padujtakɐni,padujtakɐni,p a d u j t a k ɐ n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1456,,mauliene,push,nupedatakani,nupedatakani,n u p e d a t a k a n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1457,,kumadene2,push,nupiahetaika,nupiahetaika,n u p i a h e t a i k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1458,,kowaidakenai,push,piphadaka,piphadaka,p i pʰ a d a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1459,,dzawinai,push,piduita,piduita,p i d u i t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1460,,tariana,push,nakaninaɾukʷitanipɛː,nakaninaɾukʷitanipɛː,n a k a n i n a ɾ u kʷ i t a n i p ɛː,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1461,,aha,push,ihiaretakada,ihiaretakada,i h i a ɾ e t a k a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1462,,ehe,push,peːketi ~ peːthaketi,peːketi ~ peːthaketi,p eː k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1463,,oho,push,ipetaːketi,ipetaːketi,i p e t aː k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1464,,name,push,pipialeːtaka,pipialeːtaka,p i p i a l eː t a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1465,,werekena,push,pitɛːtɛhə,pitɛːtɛhə,p i t ɛː t ɛ h ə,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1466,,waliperi,rain,iːdza,iːdza,iː dz a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1467,,hohoodene,rain,iːdza,iːdza,iː dz a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1468,,moliwene,rain,iːdza,iːdza,iː dz a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1469,,mauliene,rain,íːdzà,íːdzà,iː dz a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1470,,kumadene2,rain,ɽiːaw,ɽiːaw,ɽ iː a w,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1471,,kumadene1,rain,iːja,iːja,iː j a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1472,,kowaidakenai,rain,iːdʒa,iːdʒa,iː dʒ a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1473,,dzawinai,rain,iːdza,iːdza,iː dz a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1474,,tariana,rain,iːja,iːja,iː j a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1475,,aha,rain,iːja,iːja,iː j a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1476,,ehe,rain,iːdza,iːdza,iː dz a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1477,,oho,rain,iːdza,iːdza,iː dz a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1478,,name,rain,iːja,iːja,iː j a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1479,,werekena,rain,weni,weni,w e n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1480,,waliperi,red,iʐajdaɽi,iʐajdaɽi,i ʐ a j d a ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1481,,hohoodene,red,iːʐajdaj,iːʐajdaj,iː ʐ a j d a j,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1482,,moliwene,red,iʐajdaɽi,iʐajdaɽi,i ʐ a j d a ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1483,,mauliene,red,iʐájkani,iʐájkani,i ʐ a j k a n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1484,,kumadene2,red,ɽiːjo,ɽiːjo,ɽ iː j o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1485,,kumadene1,red,iɾinĩpɛ,iɾinĩpɛ,i ɾ i n ĩ p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1486,,kowaidakenai,red,iɽaikani,iɽaikani,i ɽ a i k a n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1487,,dzawinai,red,iʐaj,iʐaj,i ʐ a j,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1488,,tariana,red,iɾikanuka,iɾikanuka,i ɾ i k a n u k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1489,,aha,red,iraidali,iraidali,i ɾ a i d a l i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1490,,ehe,red,iːrai,iːrai,iː ɾ a i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1491,,oho,red,iːraidale,iːraidale,iː ɾ a i d a l e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1492,,name,red,iːraidali,iːraidali,iː ɾ a i d a l i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1493,,werekena,red,iɾaɽi,iɾaɽi,i ɾ a ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1494,,hohoodene,right,padzɛkema,padzɛkema,p a dz ɛ k e m a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1495,,mauliene,right,nudzekema,nudzekema,n u dz e k e m a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1496,,kumadene2,right,maiaka,maiaka,m a i a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1497,,tariana,right,masiakani,masiakani,m a s i a k a n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1498,,aha,right,matsiani,matsiani,m a ts i a n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1499,,ehe,right,matsiakhai ~ matsankhai,matsiakhai ~ matsankhai,m a ts i a kʰ a i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1500,,oho,right,hapeːdale,hapeːdale,h a p eː d a l e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
1501,,name,right,matsia,matsia,m a ts i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
